#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:07:47      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    34     0
 20231204   10:07:47      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:48      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:07:48      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:50      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:50      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:51      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:51      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     2
 20231204   10:07:52      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:52      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:53      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:07:53      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     0
 20231204   10:07:55      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:55      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:07:56      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    24
 20231204   10:07:56      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:57      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3    21
 20231204   10:07:57      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:58      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:58      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:00      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:08:00      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 20231204   10:08:01      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204   10:08:01      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 20231204   10:08:02      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    20
 20231204   10:08:02      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:03      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
